seed,P,norm,model,id_acc,ood_acc,ood_auroc
43,100,log1p,RandomForest,0.801300,0.673900,0.581540
43,100,log1p,MLP,0.846700,0.701800,0.681137
43,100,log1p,Transformer,0.788200,0.637500,0.693393
43,100,zscore,DecisionTree,0.702000,0.620900,0.595578
43,100,zscore,RandomForest,0.791300,0.672100,0.575518
43,100,zscore,MLP,0.841700,0.703700,0.682065
43,100,zscore,Transformer,0.785600,0.623600,0.681018
43,110,raw,DecisionTree,0.699900,0.616800,0.576828
43,110,raw,RandomForest,0.795300,0.679400,0.567824
43,110,raw,MLP,0.848600,0.723600,0.684312
43,110,raw,Transformer,0.804700,0.674600,0.741134
43,110,log1p,DecisionTree,0.719700,0.624300,0.599155
43,110,log1p,RandomForest,0.795600,0.675900,0.574033
43,110,log1p,MLP,0.852600,0.726500,0.683934
43,110,log1p,Transformer,0.798600,0.646000,0.685231
43,110,zscore,DecisionTree,0.698800,0.619700,0.593885
43,110,zscore,RandomForest,0.792900,0.675800,0.569194
43,110,zscore,MLP,0.848500,0.718500,0.691600
43,110,zscore,Transformer,0.790800,0.662700,0.678197
43,120,raw,DecisionTree,0.708200,0.626700,0.586486
43,120,raw,RandomForest,0.800200,0.683600,0.566276
43,120,raw,MLP,0.863800,0.736200,0.678304
43,120,raw,Transformer,0.816400,0.684500,0.724268
43,120,log1p,DecisionTree,0.723600,0.628500,0.603580
43,120,log1p,RandomForest,0.800500,0.689500,0.574420
43,120,log1p,MLP,0.850000,0.733700,0.684949
43,120,log1p,Transformer,0.813400,0.685900,0.700786
43,120,zscore,DecisionTree,0.694300,0.625800,0.587381
43,120,zscore,RandomForest,0.798700,0.686600,0.571029
43,120,zscore,MLP,0.856100,0.728300,0.693214
43,120,zscore,Transformer,0.813800,0.675300,0.738675
43,130,raw,DecisionTree,0.721700,0.638600,0.606144
43,130,raw,RandomForest,0.810800,0.698100,0.573096
43,130,raw,MLP,0.872200,0.746800,0.685391
43,130,raw,Transformer,0.823200,0.674400,0.751959
43,130,log1p,DecisionTree,0.714400,0.629700,0.588637
43,130,log1p,RandomForest,0.815000,0.697900,0.578720
43,130,log1p,MLP,0.868400,0.747500,0.692259
43,130,log1p,Transformer,0.830200,0.691100,0.742943
43,130,zscore,DecisionTree,0.723400,0.627500,0.607618
43,130,zscore,RandomForest,0.808900,0.699900,0.574362
43,130,zscore,MLP,0.875000,0.739500,0.697576
43,130,zscore,Transformer,0.811900,0.665600,0.728396
43,140,raw,DecisionTree,0.724100,0.628900,0.587258
43,140,raw,RandomForest,0.814300,0.697600,0.575867
43,140,raw,MLP,0.879500,0.745300,0.694422
43,140,raw,Transformer,0.832700,0.699500,0.749739
43,140,log1p,DecisionTree,0.725100,0.625300,0.595735
43,140,log1p,RandomForest,0.818300,0.702600,0.584945
43,140,log1p,MLP,0.872300,0.738200,0.694561
43,140,log1p,Transformer,0.834400,0.702600,0.717022
43,140,zscore,DecisionTree,0.717400,0.634500,0.588233
43,140,zscore,RandomForest,0.813900,0.702900,0.580533
43,140,zscore,MLP,0.874600,0.745100,0.697206
43,140,zscore,Transformer,0.836400,0.702600,0.755011
43,150,raw,DecisionTree,0.733500,0.633800,0.599378
43,150,raw,RandomForest,0.818700,0.704500,0.579648
43,150,raw,MLP,0.879600,0.754600,0.699389
43,150,raw,Transformer,0.847600,0.700600,0.751304
43,150,log1p,DecisionTree,0.728500,0.639800,0.589087
43,150,log1p,RandomForest,0.824100,0.706100,0.588812
43,150,log1p,MLP,0.882900,0.759100,0.698426
43,150,log1p,Transformer,0.848800,0.718700,0.730359
43,150,zscore,DecisionTree,0.736200,0.646400,0.596614
43,150,zscore,RandomForest,0.821800,0.705000,0.578369
43,150,zscore,MLP,0.878100,0.753500,0.700921
43,150,zscore,Transformer,0.842800,0.694200,0.728498
43,200,raw,DecisionTree,0.751000,0.668000,0.586488
43,200,raw,RandomForest,0.838400,0.735200,0.589512
43,200,raw,MLP,0.905100,0.783000,0.719839
43,200,raw,Transformer,0.874700,0.740900,0.774559
43,200,log1p,DecisionTree,0.760900,0.670000,0.583141
43,200,log1p,RandomForest,0.843600,0.734000,0.597952
43,200,log1p,MLP,0.903400,0.782200,0.703186
43,200,log1p,Transformer,0.872300,0.734600,0.732250
43,200,zscore,DecisionTree,0.745900,0.658200,0.585969
43,200,zscore,RandomForest,0.840100,0.734700,0.595607
43,200,zscore,MLP,0.897500,0.775100,0.712136
43,200,zscore,Transformer,0.872200,0.725300,0.780076
43,300,raw,DecisionTree,0.767500,0.666300,0.581495
43,300,raw,RandomForest,0.858000,0.746600,0.590305
43,300,raw,MLP,0.932200,0.826400,0.731977
43,300,raw,Transformer,0.909800,0.799500,0.772687
43,300,log1p,DecisionTree,0.754300,0.667300,0.563545
43,300,log1p,RandomForest,0.861300,0.746700,0.602525
43,300,log1p,MLP,0.936400,0.828800,0.739139
43,300,log1p,Transformer,0.910600,0.796400,0.725018
43,300,zscore,DecisionTree,0.768000,0.676000,0.578914
43,300,zscore,RandomForest,0.860700,0.748900,0.597526
43,300,zscore,MLP,0.916500,0.816600,0.737601
43,300,zscore,Transformer,0.906300,0.788400,0.748690
43,400,raw,DecisionTree,0.768300,0.697000,0.575245
43,400,raw,RandomForest,0.870300,0.763700,0.601570
43,400,raw,MLP,0.943600,0.841300,0.748343
43,400,raw,Transformer,0.927800,0.824900,0.735704
43,400,log1p,DecisionTree,0.777100,0.690600,0.558917
43,400,log1p,RandomForest,0.869500,0.769300,0.608804
43,400,log1p,MLP,0.945700,0.840200,0.739026
43,400,log1p,Transformer,0.927200,0.819000,0.705314
43,400,zscore,DecisionTree,0.774900,0.692300,0.559040
43,400,zscore,RandomForest,0.872200,0.766400,0.604790
43,400,zscore,MLP,0.932100,0.821100,0.729131
43,400,zscore,Transformer,0.918500,0.811400,0.736220
43,500,raw,DecisionTree,0.782600,0.688300,0.557936
43,500,raw,RandomForest,0.876100,0.773100,0.604131
43,500,raw,MLP,0.952300,0.863200,0.743579
43,500,raw,Transformer,0.938100,0.846400,0.730973
43,500,log1p,DecisionTree,0.782500,0.699500,0.528538
43,500,log1p,RandomForest,0.877800,0.774800,0.614075
43,500,log1p,MLP,0.947100,0.855000,0.761314
